date,price
2010/2/5,50.75
2010/2/6,51.2
2010/2/8,50.85
2010/2/9,51.55
2010/2/10,52.1
2010/2/22,52.6
2010/2/23,52.6
2010/2/24,52.25
2010/2/25,51.65
2010/2/26,51.55
2010/2/28,51.55
2010/3/1,52.8
2010/3/2,52.65
2010/3/3,52.65
2010/3/4,52.2
2010/3/5,52.95
2010/3/8,53.65
2010/3/9,53.8
2010/3/10,53.8
2010/3/11,53.65
2010/3/12,53.6
2010/3/15,52.85
2010/3/16,53.1
2010/3/17,54.15
2010/3/18,54.4
2010/3/19,54.25
2010/3/22,53.7
2010/3/23,53.35
2010/3/24,53.5
2010/3/25,53.5
2010/3/26,54
2010/3/29,54.5
2010/3/30,54.45
2010/3/31,54.25
2010/4/1,54.75
2010/4/2,54.75
2010/4/6,55.3
2010/4/7,55.4
2010/4/8,55.05
2010/4/9,55.2
2010/4/12,55.45
2010/4/13,54.8
2010/4/14,55.2
2010/4/15,55.55
2010/4/16,55.2
2010/4/19,53.65
2010/4/20,53.85
2010/4/21,54.55
2010/4/22,54.45
2010/4/23,54.75
2010/4/26,55.9
2010/4/27,55.85
2010/4/28,55.25
2010/4/29,55
2010/4/30,54.8
2010/5/3,54.45
2010/5/4,54.5
2010/5/5,53
2010/5/6,51.95
2010/5/7,51.95
2010/5/10,52.4
2010/5/11,52.2
2010/5/12,52.1
2010/5/13,53.25
2010/5/14,53.1
2010/5/17,51.9
2010/5/18,52
2010/5/19,51.45
2010/5/20,50.8
2010/5/21,49.75
2010/5/24,50.45
2010/5/25,49.12
2010/5/26,49.32
2010/5/27,49.66
2010/5/28,49.87
2010/5/31,50.1
2010/6/1,49.83
2010/6/2,49.05
2010/6/3,50.2
2010/6/4,50.05
2010/6/7,48.74
2010/6/8,48.56
2010/6/9,48.18
2010/6/10,48.85
2010/6/11,49.62
2010/6/14,50.35
2010/6/15,50.7
2010/6/17,51.05
2010/6/18,50.9
2010/6/21,52
2010/6/22,51.7
2010/6/23,51.15
2010/6/24,51.3
2010/6/25,50.6
2010/6/28,50.8
2010/6/29,50.5
2010/6/30,49.55
2010/7/1,49.19
2010/7/2,49.49
2010/7/5,50.5
2010/7/6,51.4
2010/7/7,51.3
2010/7/8,52.05
2010/7/9,52.35
2010/7/12,52.3
2010/7/13,52.15
2010/7/14,53.15
2010/7/15,53.25
2010/7/16,52.9
2010/7/19,52.75
2010/7/20,53.2
2010/7/21,52.9
2010/7/22,52.95
2010/7/23,53.7
2010/7/26,53.85
2010/7/27,53.6
2010/7/28,54.05
2010/7/29,54.1
2010/7/30,53.9
2010/7/31,53.9
2010/8/2,54.95
2010/8/3,55.2
2010/8/4,55.1
2010/8/5,55.05
2010/8/6,55.2
2010/8/9,55.5
2010/8/10,55.4
2010/8/11,54.7
2010/8/12,54.25
2010/8/13,54.85
2010/8/16,55
2010/8/17,54.95
2010/8/18,54.65
2010/8/19,54.95
2010/8/20,54.95
2010/8/23,55.3
2010/8/24,54.95
2010/8/25,53.95
2010/8/26,53.6
2010/8/27,53.85
2010/8/30,54.1
2010/8/31,53.3
2010/9/1,53.7
2010/9/2,54
2010/9/3,54.55
2010/9/6,54.95
2010/9/7,54.85
2010/9/8,54.75
2010/9/9,54.75
2010/9/10,55.25
2010/9/13,56.8
2010/9/14,57
2010/9/15,57.25
2010/9/16,56.65
2010/9/17,57.3
2010/9/20,57.25
2010/9/21,57.35
2010/9/23,57.35
2010/9/24,57
2010/9/27,57.5
2010/9/28,57.4
